subject,faculty_id,student_roll
Introduction to Innovation Project,FAC001,23MID1001
Introduction to Innovation Project,FAC001,23MID1002
Introduction to Innovation Project,FAC001,23MID1003
Introduction to Innovation Project,FAC001,23MID1004
Introduction to Innovation Project,FAC001,23MID1005
Introduction to Innovation Project,FAC001,23MID1006
Introduction to Innovation Project,FAC001,23MID1007
Introduction to Innovation Project,FAC001,23MID1008
Introduction to Innovation Project,FAC001,23MID1009
Introduction to Innovation Project,FAC001,23MID1010
Cloud Computing,FAC002,23MID1011
Cloud Computing,FAC002,23MID1012
Cloud Computing,FAC002,23MID1013
Cloud Computing,FAC002,23MID1014
Cloud Computing,FAC002,23MID1015
Cloud Computing,FAC002,23MID1016
Cloud Computing,FAC002,23MID1017
Cloud Computing,FAC002,23MID1018
Cloud Computing,FAC002,23MID1019
Cloud Computing,FAC002,23MID1020
Artificial Intelligence,FAC003,23MID1021
Artificial Intelligence,FAC003,23MID1022
Artificial Intelligence,FAC003,23MID1023
Artificial Intelligence,FAC003,23MID1024
Artificial Intelligence,FAC003,23MID1025
Artificial Intelligence,FAC003,23MID1026
Artificial Intelligence,FAC003,23MID1027
Artificial Intelligence,FAC003,23MID1028
Artificial Intelligence,FAC003,23MID1029
Artificial Intelligence,FAC003,23MID1030
Business Intelligence,FAC004,23MID1031
Business Intelligence,FAC004,23MID1032
Business Intelligence,FAC004,23MID1033
Business Intelligence,FAC004,23MID1034
Business Intelligence,FAC004,23MID1035
Business Intelligence,FAC004,23MID1036
Business Intelligence,FAC004,23MID1037
Business Intelligence,FAC004,23MID1038
Business Intelligence,FAC004,23MID1039
Business Intelligence,FAC004,23MID1040
Lean Startup,FAC005,23MID1041
Lean Startup,FAC005,23MID1042
Lean Startup,FAC005,23MID1043
Lean Startup,FAC005,23MID1044
Lean Startup,FAC005,23MID1045
Lean Startup,FAC005,23MID1046
Lean Startup,FAC005,23MID1047
Lean Startup,FAC005,23MID1048
Lean Startup,FAC005,23MID1049
Lean Startup,FAC005,23MID1050
Soft Skills,FAC006,23MID1051
Soft Skills,FAC006,23MID1052
Soft Skills,FAC006,23MID1053
Soft Skills,FAC006,23MID1054
Soft Skills,FAC006,23MID1055
Soft Skills,FAC006,23MID1056
Soft Skills,FAC006,23MID1057
Soft Skills,FAC006,23MID1058
Soft Skills,FAC006,23MID1059
Soft Skills,FAC006,23MID1060
Data Science Programming,FAC007,23MID1061
Data Science Programming,FAC007,23MID1062
Data Science Programming,FAC007,23MID1063
Data Science Programming,FAC007,23MID1064
Data Science Programming,FAC007,23MID1065
Data Science Programming,FAC007,23MID1066
Data Science Programming,FAC007,23MID1067
Data Science Programming,FAC007,23MID1068
Data Science Programming,FAC007,23MID1069
Data Science Programming,FAC007,23MID1070
